time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,PI,Result,X
0,100,0,1,1,3.14159,0.9999986732059836,0.7853975
1,100,0,1,1,3.14159,0.9999986732059836,0.7853975
2,100,0,1,1,3.14159,0.9999986732059836,0.7853975
3,100,0,1,1,3.14159,0.9999986732059836,0.7853975
4,100,0,1,1,3.14159,0.9999986732059836,0.7853975
5,100,0,1,1,3.14159,0.9999986732059836,0.7853975
6,100,0,1,1,3.14159,0.9999986732059836,0.7853975
7,100,0,1,1,3.14159,0.9999986732059836,0.7853975
8,100,0,1,1,3.14159,0.9999986732059836,0.7853975
9,100,0,1,1,3.14159,0.9999986732059836,0.7853975
10,100,0,1,1,3.14159,0.9999986732059836,0.7853975
11,100,0,1,1,3.14159,0.9999986732059836,0.7853975
12,100,0,1,1,3.14159,0.9999986732059836,0.7853975
13,100,0,1,1,3.14159,0.9999986732059836,0.7853975
14,100,0,1,1,3.14159,0.9999986732059836,0.7853975
15,100,0,1,1,3.14159,0.9999986732059836,0.7853975
16,100,0,1,1,3.14159,0.9999986732059836,0.7853975
17,100,0,1,1,3.14159,0.9999986732059836,0.7853975
18,100,0,1,1,3.14159,0.9999986732059836,0.7853975
19,100,0,1,1,3.14159,0.9999986732059836,0.7853975
20,100,0,1,1,3.14159,0.9999986732059836,0.7853975
21,100,0,1,1,3.14159,0.9999986732059836,0.7853975
22,100,0,1,1,3.14159,0.9999986732059836,0.7853975
23,100,0,1,1,3.14159,0.9999986732059836,0.7853975
24,100,0,1,1,3.14159,0.9999986732059836,0.7853975
25,100,0,1,1,3.14159,0.9999986732059836,0.7853975
26,100,0,1,1,3.14159,0.9999986732059836,0.7853975
27,100,0,1,1,3.14159,0.9999986732059836,0.7853975
28,100,0,1,1,3.14159,0.9999986732059836,0.7853975
29,100,0,1,1,3.14159,0.9999986732059836,0.7853975
30,100,0,1,1,3.14159,0.9999986732059836,0.7853975
31,100,0,1,1,3.14159,0.9999986732059836,0.7853975
32,100,0,1,1,3.14159,0.9999986732059836,0.7853975
33,100,0,1,1,3.14159,0.9999986732059836,0.7853975
34,100,0,1,1,3.14159,0.9999986732059836,0.7853975
35,100,0,1,1,3.14159,0.9999986732059836,0.7853975
36,100,0,1,1,3.14159,0.9999986732059836,0.7853975
