time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Result,X
0,100,0,1,1,2,2.9
1,100,0,1,1,2,2.9
2,100,0,1,1,2,2.9
3,100,0,1,1,2,2.9
4,100,0,1,1,2,2.9
5,100,0,1,1,2,2.9
6,100,0,1,1,2,2.9
7,100,0,1,1,2,2.9
8,100,0,1,1,2,2.9
9,100,0,1,1,2,2.9
10,100,0,1,1,2,2.9
11,100,0,1,1,2,2.9
12,100,0,1,1,2,2.9
13,100,0,1,1,2,2.9
14,100,0,1,1,2,2.9
15,100,0,1,1,2,2.9
16,100,0,1,1,2,2.9
17,100,0,1,1,2,2.9
18,100,0,1,1,2,2.9
19,100,0,1,1,2,2.9
20,100,0,1,1,2,2.9
21,100,0,1,1,2,2.9
22,100,0,1,1,2,2.9
23,100,0,1,1,2,2.9
24,100,0,1,1,2,2.9
25,100,0,1,1,2,2.9
26,100,0,1,1,2,2.9
27,100,0,1,1,2,2.9
28,100,0,1,1,2,2.9
29,100,0,1,1,2,2.9
30,100,0,1,1,2,2.9
31,100,0,1,1,2,2.9
32,100,0,1,1,2,2.9
33,100,0,1,1,2,2.9
34,100,0,1,1,2,2.9
35,100,0,1,1,2,2.9
36,100,0,1,1,2,2.9
37,100,0,1,1,2,2.9
38,100,0,1,1,2,2.9
39,100,0,1,1,2,2.9
40,100,0,1,1,2,2.9
41,100,0,1,1,2,2.9
42,100,0,1,1,2,2.9
43,100,0,1,1,2,2.9
44,100,0,1,1,2,2.9
45,100,0,1,1,2,2.9
46,100,0,1,1,2,2.9
47,100,0,1,1,2,2.9
48,100,0,1,1,2,2.9
49,100,0,1,1,2,2.9
50,100,0,1,1,2,2.9
51,100,0,1,1,2,2.9
52,100,0,1,1,2,2.9
53,100,0,1,1,2,2.9
54,100,0,1,1,2,2.9
55,100,0,1,1,2,2.9
56,100,0,1,1,2,2.9
57,100,0,1,1,2,2.9
58,100,0,1,1,2,2.9
59,100,0,1,1,2,2.9
60,100,0,1,1,2,2.9
61,100,0,1,1,2,2.9
62,100,0,1,1,2,2.9
63,100,0,1,1,2,2.9
64,100,0,1,1,2,2.9
65,100,0,1,1,2,2.9
66,100,0,1,1,2,2.9
67,100,0,1,1,2,2.9
68,100,0,1,1,2,2.9
69,100,0,1,1,2,2.9
70,100,0,1,1,2,2.9
71,100,0,1,1,2,2.9
72,100,0,1,1,2,2.9
73,100,0,1,1,2,2.9
74,100,0,1,1,2,2.9
75,100,0,1,1,2,2.9
76,100,0,1,1,2,2.9
77,100,0,1,1,2,2.9
78,100,0,1,1,2,2.9
79,100,0,1,1,2,2.9
80,100,0,1,1,2,2.9
81,100,0,1,1,2,2.9
82,100,0,1,1,2,2.9
83,100,0,1,1,2,2.9
84,100,0,1,1,2,2.9
85,100,0,1,1,2,2.9
86,100,0,1,1,2,2.9
87,100,0,1,1,2,2.9
88,100,0,1,1,2,2.9
89,100,0,1,1,2,2.9
90,100,0,1,1,2,2.9
91,100,0,1,1,2,2.9
92,100,0,1,1,2,2.9
93,100,0,1,1,2,2.9
94,100,0,1,1,2,2.9
95,100,0,1,1,2,2.9
96,100,0,1,1,2,2.9
97,100,0,1,1,2,2.9
98,100,0,1,1,2,2.9
99,100,0,1,1,2,2.9
100,100,0,1,1,2,2.9
